Route_Point_ID;Aar1;Latitude.x;Longitude.x;Hoh_DEM
614_7;2019;60.54369254;7.839403648;1199
614_8;2019;60.54398214;7.844844142;1241
614_9;2019;60.54428035;7.850266193;1254
614_12;2019;60.54218727;7.861697279;1269
614_13;2019;60.53951654;7.86230145;1262
614_14;2019;60.53684566;7.862887299;1266
614_15;2019;60.53416579;7.863473363;1234
614_16;2019;60.53149506;7.864077231;1208
614_17;2019;60.53120624;7.858638651;1185
614_18;2019;60.53091736;7.853218387;1154
614_20;2019;60.53032995;7.842378477;1158
615_2;2008;60.54985906;8.162000681;1105
615_3;2008;60.55254015;8.161420774;1131
615_5;2008;60.55788458;8.160297601;1165
615_6;2008;60.56055679;8.159735873;1129
615_7;2008;60.56084222;8.165163658;1113
615_9;2008;60.56139447;8.176019977;1092
615_12;2008;60.5592826;8.187454198;1096
615_14;2008;60.55392906;8.1885914;1135
615_15;2008;60.55125672;8.18915063;1058
615_20;2008;60.54746317;8.167987832;1084
615_1;2009;60.54718684;8.162562029;1086
615_2;2009;60.54985906;8.162000681;1105
615_5;2009;60.55788458;8.160297601;1165
615_6;2009;60.56055679;8.159735873;1129
615_7;2009;60.56084222;8.165163658;1113
615_8;2009;60.56111846;8.17059177;1101
615_10;2009;60.56167924;8.181448051;1066
615_13;2009;60.55660129;8.188013842;1163
615_14;2009;60.55392906;8.1885914;1135
615_2;2010;60.54985906;8.162000681;1105
615_3;2010;60.55254015;8.161420774;1131
615_4;2010;60.55521237;8.160859234;1156
615_5;2010;60.55788458;8.160297601;1165
615_8;2010;60.56111846;8.17059177;1101
615_9;2010;60.56139447;8.176019977;1092
615_12;2010;60.5592826;8.187454198;1096
615_13;2010;60.55660129;8.188013842;1163
615_15;2010;60.55125672;8.18915063;1058
615_17;2010;60.54829995;8.184283809;1044
615_18;2010;60.54802427;8.178857722;1057
615_2;2011;60.54985906;8.162000681;1105
615_3;2011;60.55254015;8.161420774;1131
615_4;2011;60.55521237;8.160859234;1156
615_5;2011;60.55788458;8.160297601;1165
615_6;2011;60.56055679;8.159735873;1129
615_10;2011;60.56167924;8.181448051;1066
615_13;2011;60.55660129;8.188013842;1163
615_14;2011;60.55392906;8.1885914;1135
615_15;2011;60.55125672;8.18915063;1058
615_17;2011;60.54829995;8.184283809;1044
615_18;2011;60.54802427;8.178857722;1057
615_20;2011;60.54746317;8.167987832;1084
615_1;2012;60.54718684;8.162562029;1086
